scenario,algorithm_a,algorithm_b,statistic,raw_p_value,corrected_p_value,significant_raw,significant_corrected
obstacle_avoidance,PSO,GWO,28.0,2.7623027563095093e-06,1.9336119294166565e-05,True,True
obstacle_avoidance,PSO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
obstacle_avoidance,GWO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
dynamic_obstacle_avoidance,PSO,GWO,56.0,0.00011058151721954346,0.00033174455165863037,True,True
dynamic_obstacle_avoidance,PSO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
dynamic_obstacle_avoidance,GWO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
formation_flight,PSO,GWO,32.0,5.144625902175903e-06,2.5723129510879517e-05,True,True
formation_flight,PSO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
formation_flight,GWO,ACO,161.0,0.1459994912147522,0.1459994912147522,False,False
area_coverage,PSO,GWO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
area_coverage,PSO,ACO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
area_coverage,GWO,ACO,30.0,3.7904828786849976e-06,2.2742897272109985e-05,True,True
target_tracking,PSO,GWO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
target_tracking,PSO,ACO,13.0,1.6391277313232422e-07,1.3113021850585938e-06,True,True
target_tracking,GWO,ACO,77.0,0.0008718203753232956,0.0017436407506465912,True,True
multi_target_engagement,PSO,GWO,0.0,1.862645149230957e-09,3.3527612686157227e-08,True,True
multi_target_engagement,PSO,ACO,12.0,1.30385160446167e-07,1.173466444015503e-06,True,True
multi_target_engagement,GWO,ACO,37.0,1.0609626770019531e-05,4.2438507080078125e-05,True,True
